index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	0178	none	none	A woman is dancing.	A man is eating.	0.143
1	main-captions	MSRvid	2012test	0294	none	none	Someone is feeding a animal.	Someone is playing a piano.	0.000
2	main-captions	MSRvid	2012test	0295	none	none	Someone is slicing tortila's.	Someone is riding a horse.	0.000
3	main-captions	MSRvid	2012test	0307	none	none	A man is mowing a lawn.	A woman is cutting a lemon.	0.200
4	main-captions	MSRvid	2012test	0322	none	none	A man is shooting a gun.	A man is spitting.	0.000
5	main-captions	MSRvid	2012test	0325	none	none	A man is swimming.	A woman is slicing meat.	0.000
6	main-captions	MSRvid	2012test	0351	none	none	A cat is licking a sucker.	A woman is slicing cucumber.	0.000
7	main-captions	MSRvid	2012test	0373	none	none	A man is riding a horse.	A man is playing a keyboard.	0.200
8	main-captions	MSRvid	2012test	0390	none	none	A woman is deveining shrimp.	A man is dancing in rain.	0.000
9	main-captions	MSRvid	2012test	0391	none	none	A man is riding a horse.	A woman is washing a freezer.	0.000
10	main-captions	MSRvid	2012test	0408	none	none	A man is riding a skateboard.	A woman is cutting a potato.	0.000
11	main-captions	MSRvid	2012test	0409	none	none	A woman is taking a shower.	A man is riding a white horse.	0.000
12	main-captions	MSRvid	2012test	0422	none	none	A chimpanzee is hurting a woman.	A man is driving a car.	0.000
13	main-captions	MSRvid	2012test	0423	none	none	The woman is peeling shrimp.	The man is holding a lemur.	0.000
14	main-captions	MSRvid	2012test	0439	none	none	A woman is water skiing on a lake.	A man is playing a flute.	0.000
15	main-captions	MSRvid	2012test	0443	none	none	A woman is cutting a cucumber.	A man is playing a guitar.	0.000
16	main-captions	MSRvid	2012test	0460	none	none	A person is cutting a meat.	A person riding a mechanical bull	0.000
17	main-captions	MSRvid	2012test	0461	none	none	A man is playing a violin.	A woman is using a sewing machine.	0.000
18	main-captions	MSRvid	2012test	0469	none	none	A man is smelling two pizzas.	A woman is feeding a man.	0.200
19	main-captions	MSRvid	2012test	0477	none	none	An elderly woman is pouring oil into a frying pan.	A tied man is putting into water.	0.000
20	main-captions	MSRvid	2012test	0484	none	none	A cat is watching a TV.	A man is slicing a leave.	0.000
21	main-captions	MSRvid	2012test	0490	none	none	A man is playing a guitar.	A woman is dancing.	0.200
22	main-captions	MSRvid	2012test	0497	none	none	A man is holding a leaf.	A woman is watching television.	0.000
23	main-captions	MSRvid	2012test	0498	none	none	A person is riding a horse.	A woman is slicing potatoes.	0.000
24	main-captions	MSRvid	2012test	0499	none	none	A woman is slicing octopus.	A man is playing the guitar.	0.000
25	main-captions	MSRvid	2012test	0502	none	none	A girl is eating a cupcake.	A man is slicing a cucumber.	0.000
26	main-captions	MSRvid	2012test	0513	none	none	A boy is pushing a van.	A person is slicing a tomato.	0.000
27	main-captions	MSRvid	2012test	0525	none	none	A woman peels an apple.	A man pops wheelies on a motorcycle.	0.000
28	main-captions	MSRvid	2012test	0526	none	none	A man is taking some math classes.	A man is rinsing a steak.	0.000
29	main-captions	MSRvid	2012test	0527	none	none	Animals are playing in water.	Two men are playing ping pong.	0.000
30	main-captions	MSRvid	2012test	0535	none	none	A man is riding a bike.	A woman is dancing in the street.	0.200
31	main-captions	MSRvid	2012test	0536	none	none	A man is doing push-ups.	A woman is cutting some octopus.	0.000
32	main-captions	MSRvid	2012test	0546	none	none	A woman is peeling a potato.	A lion is walking around.	0.000
33	main-captions	MSRvid	2012test	0559	none	none	A man is moving a tree limb.	The woman is playing the violin.	0.000
34	main-captions	MSRvid	2012test	0564	none	none	The animal is eating.	A woman is dancing.	0.000
35	main-captions	MSRvid	2012test	0586	none	none	Two puppies are playing with each other.	Some men are playing soccer.	0.200
36	main-captions	MSRvid	2012test	0591	none	none	A couple are walking.	Some men are sawing.	0.000
37	main-captions	MSRvid	2012test	0596	none	none	A man is playing a guitar.	Someone is handling a bun.	0.000
38	main-captions	MSRvid	2012test	0597	none	none	A dog is jumping on a trampoline.	A boy is playing a guitar.	0.000
39	main-captions	MSRvid	2012test	0612	none	none	A man is jumping rope outside.	A woman is slicing a cucumber.	0.000
40	main-captions	MSRvid	2012test	0613	none	none	A person is slicing some onions.	A hamster is singing.	0.000
41	main-captions	MSRvid	2012test	0614	none	none	A woman holds a kangaroo.	A man in a hat sings a song.	0.000
42	main-captions	MSRvid	2012test	0626	none	none	A person is peeling a potato.	A cat is licking a small bottle.	0.000
43	main-captions	MSRvid	2012test	0627	none	none	A cat is jumping into a box.	A young man is talking to a leaf.	0.000
44	main-captions	MSRvid	2012test	0638	none	none	A man sharpens a pencil using a knife.	A woman is dancing in the rain.	0.000
45	main-captions	MSRvid	2012test	0639	none	none	Plastic toys are floating in water.	The ladies are performing a dance.	0.000
46	main-captions	MSRvid	2012test	0643	none	none	A man is tying his shoe.	A dog is riding on a bicyclists shoulders.	0.000
47	main-captions	MSRvid	2012test	0646	none	none	A dog is running on the ground.	A girl is tapping her finger nails.	0.000
48	main-captions	MSRvid	2012test	0651	none	none	A woman is mincing some garlic.	A person is cleaning a disk.	0.000
49	main-captions	MSRvid	2012test	0657	none	none	Two Sumo ringers are fighting each other.	A man rides a water toy in the water.	0.000
50	main-captions	MSRvid	2012test	0659	none	none	A man lays on the ground and aims a rifle.	A man is spreading butter on a tortilla.	0.000
51	main-captions	MSRvid	2012test	0671	none	none	The man drove his little red car around the traffic.	The dog ran in the water at the beach.	0.000
52	main-captions	MSRvid	2012test	0680	none	none	A man is patting an alligator on the mouth.	A person is dumping chopped vegetables into a pot on the stove.	0.000
53	main-captions	MSRvid	2012test	0681	none	none	A person checks some rice pudding.	A horse is running.	0.000
54	main-captions	MSRvid	2012test	0684	none	none	A woman is stirring two eggs in a glass bowl.	A young girl is singing on a stage.	0.000
55	main-captions	MSRvid	2012test	0685	none	none	The man is playing the drums.	A man pours cleaner in his sink.	0.000
56	main-captions	MSRvid	2012test	0689	none	none	A boy is crawling into a dog house.	A cat is playing on the floor.	0.000
57	main-captions	MSRvid	2012test	0693	none	none	A man is riding a bike.	A panda bear is eating.	0.000
58	main-captions	MSRvid	2012test	0694	none	none	A young man is singing and playing the piano.	The man is writing a letter.	0.200
59	main-captions	MSRvid	2012test	0696	none	none	A girl is playing a piano.	A boy is doing push ups.	0.000
60	main-captions	MSRvid	2012test	0705	none	none	A cat is drinking some water.	A truck is going down a hill.	0.000
61	main-captions	MSRvid	2012test	0706	none	none	A person is putting salt and pepper on a piece of pork.	A youngster is sitting on a piano.	0.000
62	main-captions	MSRvid	2012test	0707	none	none	The man sat in his chair and stared.	The little girl is putting her hair into a pony tail.	0.000
63	main-captions	MSRvid	2012test	0731	none	none	A cat is licking himself.	A man is slicing a white onion with a mandolin slicer.	0.000
64	main-captions	MSRvid	2012test	0740	none	none	A woman is adding sauce to some food.	A person is cutting leaves.	0.200
65	main-captions	MSRvid	2012test	0744	none	none	Three children are eating their food.	The deer jumped over the fence.	0.000
66	main-captions	MSRvid	2012test	0748	none	none	A badger is digging in the dirt.	A man is moving large rocks.	0.000
67	main-captions	MSRvid	2012test	0749	none	none	A woman is slicing big pepper.	A dog is moving its mouth.	0.000
68	main-captions	MSRvid	2012train	0071	none	none	A man is smoking.	A man is mixing.	0.200
69	main-captions	MSRvid	2012train	0122	none	none	A car is parking.	A cat is playing.	0.000
70	main-captions	MSRvid	2012train	0153	none	none	A woman is swimming.	A man is singing.	0.067
71	main-captions	MSRvid	2012train	0180	none	none	A person is making a bed.	A person is eating at a table.	0.200
72	main-captions	MSRvid	2012train	0188	none	none	The woman is smoking.	The man is walking.	0.200
73	main-captions	MSRvid	2012train	0196	none	none	A man is playing a piano.	A woman is peeling a potato.	0.000
74	main-captions	MSRvid	2012train	0199	none	none	A woman is swimming.	A man is spitting.	0.000
75	main-captions	MSRvid	2012train	0245	none	none	A woman is firing a rifle.	A woman is cutting a lemon.	0.200
76	main-captions	MSRvid	2012train	0299	none	none	A man is playing a flute.	A woman is applying eye liner.	0.000
77	main-captions	MSRvid	2012train	0356	none	none	The man is pushing the van.	The woman is singing.	0.000
78	main-captions	MSRvid	2012train	0366	none	none	A man is dancing.	A rat is running.	0.000
79	main-captions	MSRvid	2012train	0368	none	none	A man is playing guitar.	A woman is peeling a tuber.	0.000
80	main-captions	MSRvid	2012train	0370	none	none	A woman is riding a horse.	A man is running on rope.	0.000
81	main-captions	MSRvid	2012train	0372	none	none	A woman is peeling an orange.	A man is playing a flute.	0.000
82	main-captions	MSRvid	2012train	0378	none	none	A woman is scraping a carrot.	A man is striking clay pots.	0.000
83	main-captions	MSRvid	2012train	0384	none	none	The man danced in the diner.	The bomb exploded in the desert.	0.000
84	main-captions	MSRvid	2012train	0421	none	none	The girl is riding the horse.	The girl is spraying the plants with water.	0.200
85	main-captions	MSRvid	2012train	0472	none	none	The two dogs were in the pen.	The cowboy rode his horse in the desert.	0.000
86	main-captions	MSRvid	2012train	0477	none	none	A man is opening a box using a knife.	A man is playing a guitar.	0.000
87	main-captions	MSRvid	2012train	0479	none	none	A man is eating.	A woman is rock climbing.	0.000
88	main-captions	MSRvid	2012train	0488	none	none	Someone is cutting a circle out of a pink sheet of paper.	Someone is pouring tomato sauce into a pot of meat.	0.200
89	main-captions	MSRvid	2012train	0491	none	none	A girl is eating a cupcake.	A man is playing a trumpet.	0.000
90	main-captions	MSRvid	2012train	0493	none	none	A man is buttering bread.	A woman is ridint a horse.	0.000
91	main-captions	MSRvid	2012train	0517	none	none	A woman is in the rain.	A car is driving along the road.	0.000
92	main-captions	MSRvid	2012train	0518	none	none	A woman is hitting a man.	A man is holding a slow loris.	0.000
93	main-captions	MSRvid	2012train	0532	none	none	A woman is seasoning a piece of meat.	A man is loading a rifle with bullets.	0.000
94	main-captions	MSRvid	2012train	0541	none	none	A rabbi is talking.	A man is walking on a rope.	0.000
95	main-captions	MSRvid	2012train	0543	none	none	A man is playing guitar.	Smeone is laying down.	0.000
96	main-captions	MSRvid	2012train	0547	none	none	A dog is barking.	A jet is flying.	0.231
97	main-captions	MSRvid	2012train	0549	none	none	A monkey is walking on a bed.	A man is riding a horse.	0.000
98	main-captions	MSRvid	2012train	0553	none	none	A man is frying a tortilla.	A person is performing a card trick.	0.000
